epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.064,1.16991,3.81624,1.5747,0.10919,0.58679,0.24072,0.16752,1.0206,3.82252,1.52286,0.000142542,0.000142542,0.000142542
2,725.17,1.13934,2.82109,1.51726,0.66151,0.4346,0.46812,0.31288,1.08043,2.40936,1.61234,0.000278053,0.000278053,0.000278053
3,969.343,1.17504,2.36398,1.53335,0.53837,0.5003,0.44309,0.28639,1.14568,2.44051,1.63396,0.000403995,0.000403995,0.000403995
4,1279.42,1.14637,2.11528,1.52707,0.53585,0.64291,0.61631,0.40126,1.1357,2.22712,1.63624,0.000391935,0.000391935,0.000391935
5,1651.94,1.13166,1.99812,1.51945,0.70773,0.58044,0.66503,0.44231,1.13883,2.04043,1.62865,0.00037758,0.00037758,0.00037758
6,2007.33,1.11606,1.86488,1.48965,0.73089,0.65254,0.72859,0.47988,1.1362,1.94879,1.60223,0.000363225,0.000363225,0.000363225
7,2378.14,1.11211,1.81483,1.48462,0.66717,0.66108,0.70106,0.48053,1.04929,1.8353,1.53222,0.00034887,0.00034887,0.00034887
8,2748.51,1.10287,1.77318,1.46731,0.84389,0.61527,0.78852,0.53973,1.08069,1.77542,1.56471,0.000334515,0.000334515,0.000334515
9,3109.28,1.0325,1.6356,1.43206,0.71307,0.7234,0.78682,0.55085,1.03137,1.70518,1.49607,0.00032016,0.00032016,0.00032016
10,3464.29,1.03733,1.58854,1.42797,0.68947,0.73854,0.75442,0.54292,0.98208,1.636,1.44555,0.000305805,0.000305805,0.000305805
11,3728.49,1.01669,1.50061,1.39782,0.75253,0.74244,0.77953,0.56678,0.96221,1.44959,1.43833,0.00029145,0.00029145,0.00029145
12,3955.45,1.02217,1.50899,1.3976,0.75971,0.75589,0.82,0.58975,0.93525,1.40244,1.39353,0.000277095,0.000277095,0.000277095
13,4181.77,1.01466,1.4896,1.39022,0.80537,0.74036,0.8228,0.59028,0.96664,1.38994,1.44785,0.00026274,0.00026274,0.00026274
14,4474.46,0.98045,1.39073,1.36783,0.78586,0.77029,0.81604,0.57064,1.00331,1.38989,1.45045,0.000248385,0.000248385,0.000248385
15,4701.29,0.97288,1.3558,1.36584,0.75072,0.80653,0.84728,0.60345,0.93805,1.3882,1.40035,0.00023403,0.00023403,0.00023403
16,4927.87,0.99027,1.3596,1.36078,0.79371,0.79815,0.83854,0.60636,0.94343,1.41229,1.40962,0.000219675,0.000219675,0.000219675
17,5153.99,0.96091,1.32659,1.35308,0.74209,0.77492,0.82497,0.59002,0.93625,1.33909,1.38497,0.00020532,0.00020532,0.00020532
18,5379.83,0.93696,1.3061,1.33227,0.76885,0.80979,0.86246,0.63089,0.88532,1.25928,1.34868,0.000190965,0.000190965,0.000190965
19,5605.67,0.94197,1.28781,1.3436,0.81462,0.79467,0.85933,0.62184,0.88632,1.20146,1.34823,0.00017661,0.00017661,0.00017661
20,5831.97,0.91335,1.20088,1.31514,0.83941,0.77353,0.8416,0.6364,0.85674,1.21491,1.32118,0.000162255,0.000162255,0.000162255
21,6055.76,0.87983,1.37931,1.37831,0.78951,0.82264,0.85667,0.63759,0.89086,1.1969,1.36329,0.0001479,0.0001479,0.0001479
22,6279.58,0.8423,1.27735,1.34711,0.85562,0.8161,0.8802,0.64687,0.86832,1.15599,1.3346,0.000133545,0.000133545,0.000133545
23,6502.81,0.81498,1.20308,1.33225,0.8566,0.81348,0.87779,0.65087,0.89281,1.13888,1.34825,0.00011919,0.00011919,0.00011919
24,6726.27,0.78042,1.1351,1.27155,0.86089,0.785,0.8815,0.65478,0.85031,1.11214,1.29097,0.000104835,0.000104835,0.000104835
25,6949.57,0.78681,1.13593,1.29421,0.83276,0.79853,0.8773,0.66457,0.85802,1.08203,1.3043,9.048e-05,9.048e-05,9.048e-05
26,7173.3,0.75587,1.07837,1.25673,0.8003,0.81902,0.88668,0.67163,0.8418,1.06392,1.29917,7.6125e-05,7.6125e-05,7.6125e-05
27,7397.62,0.76022,1.07058,1.25805,0.798,0.84628,0.8753,0.66924,0.83336,1.0635,1.28861,6.177e-05,6.177e-05,6.177e-05
28,7621.57,0.73254,1.05364,1.23383,0.85251,0.81183,0.88924,0.67104,0.82704,1.05582,1.28341,4.7415e-05,4.7415e-05,4.7415e-05
29,7845.21,0.73473,1.04074,1.24568,0.83811,0.8268,0.88799,0.67248,0.82571,1.04469,1.28171,3.306e-05,3.306e-05,3.306e-05
30,8069.3,0.72659,1.00652,1.23587,0.85142,0.81557,0.89217,0.67612,0.82493,1.0501,1.28566,1.8705e-05,1.8705e-05,1.8705e-05
